id,created_at,item,description,price,image,categories
da3bc1b9-79c4-4eab-992c-d36f31a9c0f7,2023-09-24 08:17:19.28246+00,White hoody,Medium white hoody with black text logo on the back,40,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper4.jpg,"tops, mens"
0bd2f867-d3ff-499b-8ed6-bd50005ec6e3,2023-09-23 17:44:23.53502+00,Small pouch,"Light blue and white pouch, for carrying small items, such as cash.",15,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag1.jpg,"bags, unisex"
2387b9b9-94c2-4f4b-87fa-f15aad40d1fe,2023-09-23 17:55:02.015127+00,Flower Rucksack,Brown and white flowery rucksack,22,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag10.jpg,"unisex, bags"
2e972851-d827-4713-a61e-1e2916b41cca,2023-09-23 17:56:00.300692+00,Carrier bag yellow,Yellow plain carrier bag,7,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag11.jpg,"unisex, bags"
918b368f-76cd-4102-8de7-9aa66eecd862,2023-09-23 17:56:39.648776+00,Beige carrier bag,"Plain carrier bag, with simple design",7,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag12.jpg,"unisex, bags"
2026c385-c290-4254-8742-4ebfeaa01aa5,2023-09-24 07:17:07.424759+00,Green Handbag,"Dark green handbag, with shoulder strap and hand helpd strap. Silver coloured clasps.",54,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag2.jpg,"bags, womens"
3a0ab95d-108e-4f0a-aaf3-e22a94b5234b,2023-09-24 07:18:36.817816+00,Light pink handbag,Light pink handbag. Clasps for shoulder strap. 2 pockets inside.,36.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag3.jpg,"bags, womens"
227d3c1a-ff70-4fd4-98dc-f7d48dbc4cef,2023-09-24 07:19:34.374544+00,Black carrier bag,"Simple black carrier bag, medium size. ",8.99,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag4.jpg,"bags, unisex"
2984d3ae-97a1-4be0-b022-18a8c064b046,2023-09-24 07:20:15.569906+00,Green carrier bag,"Simple green bag, with white rope style handles. ",9.25,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag5.jpg,"bags, unisex"
1618e868-8cf9-42d8-97ac-f4db232b6a58,2023-09-24 07:21:46.106942+00,Colourful carrier bag,"Simple bag with pink, white a blue design. White string handles.",9.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag6.jpg,"bags, unisex"
9d18e68f-a703-47a3-a4cb-2c76b3e58e9b,2023-09-24 07:23:04.479533+00,Carrier bag,Small beige bag with blue typed design and light blue handles,5.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag7.jpg,"bags, unisex"
1cb8ceae-13cf-4721-9557-cd416cd08f40,2023-09-24 07:25:37.705563+00,Light pink handbag,"Light pink patterned bag, with chain shoulder strap. 2 pockets inside",42,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag8.jpg,"bags, womens"
f42f37ba-d83f-42fa-b2d1-a40c45957fa1,2023-09-24 07:27:03.53245+00,Blue handbag,"Blue curved style bag, with pattern. Firm hand straps.",48.99,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/bags/bag9.jpg,"bags, womens"
033f6760-1151-4bf9-8d63-cbadb0e817b1,2023-09-24 07:27:56.051046+00,Orange cap,dark orange cap with logo on the front. Soft material,11,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap1.jpg,"hats, unisex"
bf6b7880-ea46-4dfc-b953-0a0c6e9ffd08,2023-09-24 07:28:50.926148+00,Yellow cap,"Yellow material cap with colourful logo on the front. ",12,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap10.jpg,"hats, unisex"
e789ee7c-b32b-4366-b33f-1ec1195ce792,2023-09-24 07:30:21.664054+00,Black cap,Black cap with white text on the front,10.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap2.jpg,"hats, unisex"
a1e333b0-f873-49f7-81b7-96f0d1091ce7,2023-09-24 07:30:59.835787+00,White cap,"White cap with black logo and white text. ",11,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap3.jpg,"hats, unisex"
ef99c007-95a2-40ae-83e6-8adedf945b34,2023-09-24 07:32:00.81896+00,Black bucket hat,"Black, soft material. Small size",15,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap7.jpg,"hats, unisex"
35ae6ad1-a4dc-4077-b767-57f74c7e7063,2023-09-24 07:32:44.198931+00,Beige hat,"Summery hat, beige with black ribbon. ",18,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/caps/cap9.jpg,"hats, womens"
f217b177-c504-4aee-9e4c-5e761c2c5e46,2023-09-24 08:09:23.865193+00,Light Brown Jumper,"Light brown hoody, with front pocket. Large",38,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper1.jpg,"tops, mens"
5dfc3e9f-2bde-4cb3-8070-26d63fa25115,2023-09-24 08:10:18.879247+00,Blue Hoody,Medium blue hoody with 'Kinger' logo.,33.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper2.jpg,"tops, unisex"
e52ab3ff-fd76-4aa1-8ea4-ed418f7d4398,2023-09-24 08:16:42.631981+00,Yellow Hoody,Small yellow hoody with white and black logo,37,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper3.jpg,"tops, womens"
bcd9832e-b969-4209-83b4-7fb2b26fd272,2023-09-24 08:17:56.406474+00,Purple jumper,Small purple jumper with white and black logo o the front,35,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper5.jpg,"tops, mens"
b28422e1-5fc9-425b-85a3-1a203241ba40,2023-09-24 08:18:36.066428+00,Yellow jumper,Small wool yellow jumper. Plain,28,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumpers/jumper6.jpg,"tops, womens"
d7b86e7f-0f80-46e0-8dfe-4c37dfde7705,2023-09-24 08:19:11.846315+00,Jean shorts,Small thigh length jean shorts,18,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts1.jpg,"shorts, womens"
0b6415f1-918b-4027-aa96-d2fb067d11ef,2023-09-24 08:19:52.316721+00,Dark grey shorts,"Medium dark grey shorts, with a simple pattern",15.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts2.jpg,"shorts, mens"
d4a3a01c-2047-462d-8b22-ec5ec5979ac5,2023-09-24 08:20:45.059967+00,Sporty shorts,"Medium white and blue shorts. Thin material, with griffin logo.",13,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts3.jpg,"shorts, mens"
2b085829-f893-4716-8c2c-b374c7ab5169,2023-08-20 19:27:38.28351+00,Handbag,"Black, leather bag. Long strap, 3 compartments",14.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/handbag.jpeg,"accessories, womens"
a27da4b5-c9a4-45b6-b290-247c41c62667,2023-08-20 14:46:42.607587+00,Jeans,Blue jean trousers,32.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jeans.jpeg,"trousers, womens"
d632a637-e3aa-48a7-af92-55d42e4ed9ce,2023-08-20 19:31:20.071889+00,Cap,Blue cap with logo,10.99,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/cap.jpg,"hats, kids"
05123eb1-d1f2-4df9-b4b0-08012ae7b1a0,2023-08-20 10:23:07.519774+00,T-Shirt,"Red and white t-shirt, with a logo",12.95,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirt.jpg,"t-shirts, unisex"
f64a9378-24df-4527-8e21-95d4bf042e72,2023-08-20 19:29:52.747579+00,Shorts,White and green tight shorts. Two pockets,19.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts.jpeg,"shorts, mens"
2f88f895-20a6-4230-b8a7-db6a976ad411,2023-08-20 19:27:05.866215+00,Scarf,"Woolen scarf, brown, long ",5.9,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/scarf.jpg,"accessories, unisex"
8e2fc2a3-f5cf-4d5c-88c9-6d049c5c6d48,2023-08-20 19:26:46.073603+00,Rucksack,Lightweight bag with shoulder straps,22,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/rucksack.jpeg,"accessories, unisex"
551f95be-c09f-4505-8456-55a28511dc41,2023-08-20 19:30:26.536289+00,Jumper,Purple woolen jumper,42,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/jumper.jpeg,"tops, mens"
59ae1ef2-8699-415f-b947-7bdf9fcf05cd,2023-09-24 08:21:37.261243+00,Sporty shorts,"Large black and purple shorts, with white text logo",13,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts4.jpg,"shorts, mens"
eb127be1-50b4-469b-8097-d1fd4fe9b6d2,2023-09-24 08:22:09.257437+00,Plain shorts,Light blue/grey shorts. No logo,10,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts5.jpg,"shorts, mens"
962bb28e-02ea-4396-aa37-c8e720143f18,2023-09-24 08:22:42.633032+00,Grey shorts,"Cotton shorts, grey, plain. Large.",10,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts6.jpg,"shorts, mens"
46024f16-10eb-4866-8a42-8eb8c87e5fd6,2023-09-24 08:23:13.959912+00,Blue shorts,"Medium blue shorts. Plain, no logo",13.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/shorts/shorts7.jpg,"shorts, mens"
7696a868-2dac-4bde-a5cc-ee3878138632,2023-09-24 08:24:01.040542+00,Womens Jeans,"Medium, regular fit blue jeans",22,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers1.jpg,"trousers, womens"
f8255238-16f3-4393-8516-09b45f9d590c,2023-09-24 08:24:48.78337+00,Light brown jeans,"Small, loose fitting light brown jeans",19.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers2.jpg,"trousers, womens"
c932237d-457b-415c-8274-3c11ebec1ab8,2023-09-24 08:25:24.675875+00,Bright yellow trousers,"Medium, loose fitting, yellow cotton trousers",25,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers3.jpg,"trousers, womens"
d3ab0979-620b-4c1c-b22a-9601e0144b16,2023-09-24 08:26:01.824024+00,Beige trousers,"Small, regular fit, smart, beige trousers",26,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers4.jpg,"trousers, womens"
496a91d2-0e62-4bec-938d-219781347016,2023-09-24 08:26:40.544249+00,Work trousers,"Black, regular fit trousers for work. Side pockets",28,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers5.jpg,"trousers, mens"
6cbd493f-dcef-4468-8605-1f391d81b5d0,2023-09-24 08:27:16.498904+00,Ripped jeans,"Blue, tight fitting jeans, with rip design. ",29,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers6.jpg,"trousers, womens"
74f0df22-faf6-4671-9da8-533c9804563d,2023-09-24 08:28:23.013196+00,Brown trousers,"Medium, tight fitting, smart brown trousers",28,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers7.jpg,"trousers, mens"
70f7e37e-d73e-417f-afb2-9fe062f46fe7,2023-09-24 08:28:59.2906+00,Regular fit jeans,"Medium, regular fit, blue jeans",25,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/trousers/trousers8.jpg,"trousers, womens"
8260d8a9-036f-4ef0-b230-516c7b8873b7,2023-09-24 08:29:47.040739+00,Light blue t-shirt,"Small, light blue t-shirt. Black text logo",14,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt1.jpg,"t-shirts, unisex"
d9e1203f-0bb4-4cc5-9198-6180891cef72,2023-09-24 08:30:27.867878+00,Blue t-shirt,"Large, tight fit, blue t-shirt with white and black logo",16,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt10.jpg,"t-shirts, mens"
3d66604e-2521-41ba-a66a-4a7bee954390,2023-09-24 08:31:25.794885+00,Black t-shirt,"Large, black t-shirt with light grey text logo",15.5,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt11.jpg,"t-shirts, mens"
7598c6e8-add9-4c3d-8e02-54463456d92d,2023-09-24 08:32:08.765317+00,Yellow t-shirt,"Medium, yellow, tight fitting t-shirt.",12,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt12.jpg,"t-shirts, mens"
7cc9dd6f-15d3-40f8-91c9-930d7a42aaf0,2023-09-24 08:33:22.120551+00,White t-shirt,"Small, white t-shirt, with black text logo",14,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt2.jpg,"t-shirts, womens"
68092331-8569-41f7-82a5-b74c8b8785da,2023-09-24 08:34:01.931755+00,"Black, lazy t-shirt","Large, loose fitting, black t-shirt, with white text logo",12,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt3.jpg,"t-shirts, unisex"
72919bb5-a0a5-4f7e-899b-658761dfee91,2023-09-24 08:34:48.107509+00,White facial expression t-shirt,"White, medium t-shirt with angry face logo",18,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt4.jpg,"t-shirts, unisex"
b8edbc85-74c9-4369-a7b2-8c7667707d1a,2023-09-24 08:35:31.1025+00,Dinosaur t-shirt,"White, medium t-shirt with dinosaur logo",18,https://xezpjmsieqnlqyyoltzm.supabase.co/storage/v1/object/public/shoplet%20images/tshirts/shirt9.jpg,"t-shirts, unisex"